,date,time,price,change,volume,amount,type,code
366,2021-06-10,09:48:16,112.4,-0.04,69,775550,卖盘,000538
367,2021-06-10,09:48:19,112.35,-0.05,52,584192,卖盘,000538
368,2021-06-10,09:48:22,112.29,-0.06,15,168446,卖盘,000538
369,2021-06-10,09:48:25,112.24,-0.05,41,460238,卖盘,000538
370,2021-06-10,09:48:28,112.21,-0.03,43,482669,卖盘,000538
371,2021-06-10,09:48:31,112.2,-0.01,49,549780,卖盘,000538
372,2021-06-10,09:48:34,112.24,0.04,6,67325,买盘,000538
373,2021-06-10,09:48:37,112.18,-0.06,12,134629,卖盘,000538
374,2021-06-10,09:48:39,112.18,0.0,65,729509,卖盘,000538
375,2021-06-10,09:48:42,112.18,0.0,8,89740,买盘,000538
376,2021-06-10,09:48:46,112.18,0.0,12,134615,买盘,000538
377,2021-06-10,09:48:48,112.18,0.0,39,437482,买盘,000538
378,2021-06-10,09:48:51,112.18,0.0,31,347751,买盘,000538
379,2021-06-10,09:48:55,112.18,0.0,11,123401,卖盘,000538
380,2021-06-10,09:48:57,112.35,0.17,9,101011,买盘,000538
381,2021-06-10,09:49:01,112.18,-0.17,11,123472,卖盘,000538
382,2021-06-10,09:49:04,112.35,0.17,3,33705,中性盘,000538
383,2021-06-10,09:49:07,112.35,0.0,18,202230,卖盘,000538
384,2021-06-10,09:49:10,112.38,0.03,4,44943,买盘,000538
